artifact_id,glass_type,true_label,surface_weathering,n_points,missing_count_mean,钾_相对_铅钡,铅钡_相对_硅铝,硅铝_相对_总助熔
01,高钾,0,无风化,1,5.0,-0.04510757440134342,-0.4469287063483618,1.4449135997319968
02,铅钡,1,风化,1,4.0,-2.4299796389320596,0.3564041865506651,1.6451289306355998
03,高钾,0,无风化,2,5.0,1.3057357665531093,-2.441904172787199,2.4877102680450895
04,高钾,0,无风化,1,5.0,-0.0716896683179874,-0.6683518596434288,1.5792188767890052
05,高钾,0,无风化,1,4.0,0.029809958013218982,-0.7107902184498878,1.573550898965151
06,高钾,0,无风化,2,3.5,2.130996931652413,-3.848042025833211,3.163176054867793
07,高钾,0,风化,1,8.0,-3.3285076844437564,0.3312834787354286,2.022707647910904
08,铅钡,1,风化,2,5.0,-3.726627189795001,2.192741911705003,-0.0035805191159564032
09,高钾,0,风化,1,7.0,-2.828973817924399,0.5212788665430907,1.7765177175205913
10,高钾,0,风化,1,8.0,-2.4662442866396095,0.7563304339330195,1.618944371390937
11,铅钡,1,风化,1,4.0,-3.689485593738408,0.7061460121206236,1.5116457799533916
12,高钾,0,风化,1,7.0,-2.39003907690791,0.47473264512270275,1.6932682408518744
13,高钾,0,无风化,1,6.0,0.13986252144409825,-0.5910619862378308,1.4761076202931662
14,高钾,0,无风化,1,4.0,1.0673209139772355,-1.977796637813725,2.296757127862499
16,高钾,0,无风化,1,3.0,3.3810859361335845,-4.4646761230566945,3.2762173810697126
18,高钾,0,无风化,1,7.0,-0.09307634360748637,-0.3883678074334642,1.3514268328268684
19,铅钡,1,风化,1,4.0,-3.1488069844630138,0.3862057239250096,1.6954115539303383
20,铅钡,1,无风化,1,6.0,-2.4797494483947524,0.03646199929292138,1.7214172128411085
21,高钾,0,无风化,1,5.0,1.3540786930930158,-2.7422712310620248,2.6616747761315644
22,高钾,0,风化,1,6.0,-2.644014766786619,0.04796409515130984,2.2176243563577267
23,铅钡,1,风化,1,5.0,-3.0961861192414206,0.4847315632772302,1.59374138208058
24,铅钡,1,无风化,1,6.0,-1.0794820390792743,1.3557112178134185,0.587289841810003
25,铅钡,1,风化,1,4.0,-3.117421272464262,0.3956098965300905,1.8409611426866606
26,铅钡,1,风化,2,4.5,-3.6613799318927795,2.4294588056609143,-0.2816978520459673
27,高钾,0,风化,1,7.0,-3.3285076844437564,0.21220495663402428,2.3383589024265015
28,铅钡,1,风化,1,2.0,-2.8298983171898495,-0.7652931939192191,2.711633090607857
29,铅钡,1,风化,1,2.0,-2.2969654633087253,-1.796245215535773,3.4723602747518885
30,铅钡,1,无风化,2,4.0,-1.4872590568198683,0.5004720793387034,1.1520864778020097
31,铅钡,1,无风化,1,4.0,-0.016816253514208714,-0.6434431241790923,1.7468080206321042
32,铅钡,1,无风化,1,5.0,-3.139470345352993,-0.26710024317552383,2.4603368892069755
33,铅钡,1,无风化,1,5.0,-3.2021879860741036,-0.5645968846955634,2.6139553907498247
34,铅钡,1,风化,1,4.0,-3.6398196176264195,1.0416484346961281,1.3773611636426426
35,铅钡,1,无风化,1,6.0,-0.34106222517763557,0.1386652729866893,1.3828297297370158
36,铅钡,1,风化,1,3.0,-4.099991161972538,0.9812928496823399,1.7167339304627915
37,铅钡,1,无风化,1,4.0,-3.316039227502372,0.043138844561575684,2.177929739373948
38,铅钡,1,风化,1,4.0,-3.453109754011285,0.8705991807415265,1.6844767817483357
39,铅钡,1,风化,1,6.0,-3.4158498072871906,1.7568508454917262,0.35660181435916427
40,铅钡,1,风化,1,6.0,-3.4419303923953244,2.067302489389883,-0.10400840745604507
41,铅钡,1,风化,1,3.0,-3.1464376291663374,0.9733135308716223,0.7488407928226268
42,铅钡,1,风化,2,4.5,-3.4122640964543924,-0.01179506789321838,2.0994253960077955
43,铅钡,1,风化,2,4.5,-3.1881947652352416,0.8569265627123366,0.9286413272153546
44,铅钡,1,风化,1,4.0,-3.0545863951749666,-1.1920572613929883,3.127791721074604
45,铅钡,1,无风化,1,4.0,-3.9113311917196443,-0.27933781475035246,2.7991270051160635
46,铅钡,1,无风化,1,5.0,-3.392535962690219,-0.020140593662907325,1.9596509483488114
47,铅钡,1,无风化,1,3.0,-3.2386161068504173,0.1982175506753716,2.0529843955604767
48,铅钡,1,风化,1,2.0,-2.866886588562274,-0.9233489101071313,3.045784022935796
49,铅钡,1,风化,2,3.5,-2.979356783208846,-0.2514355214422337,2.1108962263931312
50,铅钡,1,风化,2,4.5,-3.31584678785594,0.7346769721430402,1.452819022317124
51,铅钡,1,风化,2,4.5,-3.3827739146866285,0.7929218614451252,1.1902613238519244
52,铅钡,1,风化,1,3.0,-3.3861400131464623,1.3094902280834857,0.998696272667781
53,铅钡,1,风化,1,4.0,-3.7661454007656974,-0.572340759654498,2.912456461571309
54,铅钡,1,风化,2,5.5,-3.425996320545775,0.891240138606479,1.2420933380037666
55,铅钡,1,无风化,1,6.0,-0.641936508085148,0.6518321945605865,0.8383230588880105
56,铅钡,1,风化,1,7.0,-3.566509599903425,1.2348097821188548,1.1290209029526674
57,铅钡,1,风化,1,8.0,-3.6491099179835613,1.3223638027250315,1.0881810427215535
58,铅钡,1,风化,1,3.0,-3.211333015186283,0.5179666810386028,1.5384017400664598
