id,pc1,pc2,kind,label
01,-0.042107763273184225,-0.5323575627722263,known,高钾
02,-0.29299971621505017,0.07854093525075702,known,铅钡
03,1.9268937034437326,-0.7540012041826555,known,高钾
04,0.1926579298373997,-0.5413412296135994,known,高钾
05,0.210202384068408,-0.5694842899728643,known,高钾
06,3.262688108665409,-0.9603080699922206,known,高钾
07,0.05031607437422868,0.38232169004546285,known,高钾
08,-2.707460320607127,-0.296884397654443,known,铅钡
09,-0.2655741395015655,0.27987803265413946,known,高钾
10,-0.5279007288546111,0.2767952912971972,known,高钾
11,-0.5950734821495385,0.15889451209866773,known,铅钡
12,-0.3136570617027844,0.18421118070980116,known,高钾
13,0.06156588377202678,-0.5855063878712691,known,高钾
14,1.5139623919738399,-0.6589980899507242,known,高钾
16,3.6883857399942,-1.204862337018259,known,高钾
18,-0.15485920396788133,-0.5787426286578564,known,高钾
19,-0.2648523554152919,0.1372532092142214,known,铅钡
20,-0.05671135942622914,-0.03351094038828413,known,铅钡
21,2.2381721530193763,-0.7731062841426645,known,高钾
22,0.3708688251680837,0.3902314104731224,known,高钾
23,-0.4059429060062524,0.1059971231401093,known,铅钡
24,-1.747306406284547,-0.260886439685909,known,铅钡
25,-0.1426296242900047,0.2648686417057243,known,铅钡
26,-3.076023467584055,-0.40045086852472694,known,铅钡
27,0.38931876042152325,0.5822571046723999,known,高钾
28,1.233763891284978,0.3578443227271564,known,铅钡
29,2.445175275228774,0.42991249092451544,known,铅钡
30,-0.8002875635593297,-0.25685083870256536,known,铅钡
31,0.3259233566807841,-0.3866462704032937,known,铅钡
32,0.7500236423201603,0.42086151437434194,known,铅钡
33,1.0419982589184016,0.3862225106788917,known,铅钡
34,-0.8902988693926916,0.23073079066747565,known,铅钡
35,-0.40681376844826744,-0.2620351370356507,known,铅钡
36,-0.5616951821285346,0.4829654068685239,known,铅钡
37,0.3387343513045362,0.35418273416240387,known,铅钡
38,-0.5312045485126659,0.394860422890634,known,铅钡
39,-2.1615837577323953,-0.2339910410673614,known,铅钡
40,-2.7287326459523986,-0.45045627456551235,known,铅钡
41,-1.4033896761351357,-0.33561647824202145,known,铅钡
42,0.2992452405599061,0.2578874970784207,known,铅钡
43,-1.1845454538210534,-0.24847549101693672,known,铅钡
44,1.8237243613782237,0.47285183999595864,known,铅钡
45,1.0526089155151332,0.6991095656263623,known,铅钡
46,0.18150867053195627,0.13571319041281385,known,铅钡
47,0.1473208147886847,0.3344971929068894,known,铅钡
48,1.6095983189946967,0.5518728084086766,known,铅钡
49,0.4363130824368211,0.13554196194911192,known,铅钡
50,-0.6616125643464762,0.12512468421322884,known,铅钡
51,-0.9219620305280501,-0.06365606000641026,known,铅钡
52,-1.363239621767716,0.05972791421807763,known,铅钡
53,1.3069892089858828,0.6330547620678721,known,铅钡
54,-0.928783849275623,0.034098796565416103,known,铅钡
55,-1.1547540065238597,-0.4374174091641061,known,铅钡
56,-1.209746836295381,0.12822210705662151,known,铅钡
57,-1.2918559947950938,0.14209286046518632,known,铅钡
58,-0.47192815207174055,0.077751704777479,known,铅钡
A1,0.4702537692222003,-0.4281916126251369,unknown,高钾
A2,-0.8223292662563471,-0.14655726490090185,unknown,铅钡
A3,-0.7777969291781834,-0.4030422937443478,unknown,铅钡
A4,0.18701842615069408,0.0470314988976486,unknown,铅钡
A5,2.28011319727628,0.3546303753376046,unknown,高钾
A6,-0.02794474934811539,0.4441771142334893,unknown,铅钡
A7,0.577664164648062,0.4025191433245542,unknown,铅钡
A8,0.48059510038277786,0.8686425598109883,unknown,铅钡
