repeat_id,model,balanced_accuracy,macro_f1,roc_auc,brier,calibration_intercept,calibration_slope
0,CART,0.75,0.754679410593389,0.7796875000000001,0.15550005988233298,0.7163349053906074,0.22796783899875947
0,LDA,0.7875,0.8095238095238095,0.8140625,0.12853473072273588,0.005564380620867775,0.6173253419565846
0,Logistic,0.78125,0.78125,0.7609374999999999,0.17187645086223946,0.6987438544469411,0.6184668197125849
1,CART,0.74375,0.7619047619047619,0.87421875,0.14104664779107437,0.5635658724564019,0.23842155287321454
1,LDA,0.775,0.790610718737017,0.7765625,0.1415671640983949,0.18089311516827178,0.5338589803386644
1,Logistic,0.7125,0.7043740573152337,0.834375,0.15949154141295177,0.6729605690073867,0.636245489666188
2,CART,0.7875,0.8095238095238095,0.78125,0.1314048257943794,0.7912863725654323,0.14889978744709334
2,LDA,0.7875,0.8095238095238095,0.85,0.12656639473826609,-0.03293282816260062,0.6925745063344912
2,Logistic,0.7625,0.7723577235772358,0.8765625000000001,0.1319196303009374,0.4695432665602719,0.6838072107116439
3,CART,0.7125,0.7043740573152337,0.7125000000000001,0.2153303747750251,1.03431331513096,0.20514549685430566
3,LDA,0.7875,0.8095238095238095,0.803125,0.1264843866874081,-0.04012752330768652,0.6628675101188894
3,Logistic,0.8,0.7888386123680242,0.890625,0.1317506515290665,0.7767719754018725,0.9110779704632608
4,CART,0.78125,0.78125,0.7859375,0.15604405434561297,0.699671766481542,0.17525031345541606
4,LDA,0.775,0.790610718737017,0.8265625,0.13483254663181335,0.0041283133547323995,0.6241560829055504
4,Logistic,0.75625,0.746606334841629,0.8109375,0.1615497468294261,0.6664204512579686,0.6290822370185878
5,CART,0.78125,0.78125,0.84453125,0.13779437365014052,0.6613886418959327,0.18975678554955047
5,LDA,0.7625,0.7723577235772358,0.8671875,0.13261669915084026,-0.004578016301077343,0.6733622324418076
5,Logistic,0.8,0.7888386123680242,0.8250000000000001,0.17149974194075662,0.8855355407095518,0.4949773609314813
6,CART,0.7875,0.8095238095238095,0.75546875,0.1372173728040644,1.1639756242765429,0.19670486594326614
6,LDA,0.7875,0.8095238095238095,0.7843749999999999,0.13291517837879413,0.031718503319704106,0.5947680826978997
6,Logistic,0.79375,0.7992831541218638,0.828125,0.1298370128540873,0.27273706091722466,0.8148848116927114
7,CART,0.725,0.7207518220176448,0.740625,0.19154498024962638,0.8266774918535934,0.11399127711222537
7,LDA,0.775,0.790610718737017,0.84375,0.13949614524599718,0.12945346521864848,0.5870739827686553
7,Logistic,0.78125,0.78125,0.803125,0.16253695238612378,0.7634668077094694,0.5548841871182565
8,CART,0.775,0.790610718737017,0.7640625000000001,0.13837719002607643,0.5607065158769178,0.2642523486488242
8,LDA,0.7875,0.8095238095238095,0.8500000000000001,0.12238021232095572,-0.08514494965386858,0.6714247472941599
8,Logistic,0.8125,0.806674338319908,0.85,0.13816690560242845,0.4607595354978648,0.8723416310279671
9,CART,0.76875,0.7637130801687764,0.796875,0.15084115097213052,0.6562240823903717,0.13432450961884537
9,LDA,0.775,0.790610718737017,0.84375,0.1289041020020427,0.0057571953683295,0.6476693776519657
