artifact_id,sample_point,glass_type,component,observed_weathered_pct,estimated_unweathered_pct,median_pct,ci_low_pct,ci_high_pct,modeled,bootstrap_success,width
27,27,高钾,K2O,,37.02520503015212,34.175159739521575,10.296025568413265,59.41788585248667,1,1000,49.121860284073406
07,07,高钾,K2O,,36.22016760630131,33.37308908684429,9.946679973699116,58.455440520137884,1,1000,48.508760546438765
27,27,高钾,SiO2,92.72,46.3712168522574,48.12832866165273,28.491823581138085,67.18614705771476,1,1000,38.69432347657668
07,07,高钾,SiO2,92.63,45.318937281515765,46.95361354455809,27.998464501452556,65.30314187180448,1,1000,37.304677370351925
22,22,高钾,SiO2,92.35,64.44099520476195,64.50890564729988,53.49667201376705,73.1039580577431,1,1000,19.607286043976046
26,26,铅钡,SiO2,19.79,44.22530194603555,44.22230071833629,34.753956883255114,53.28058393573292,1,1000,18.526627052477807
08,08,铅钡,SiO2,20.14,44.474152290863664,44.395935040709006,35.2149978636224,53.24979629107729,1,1000,18.034798427454888
12,12,高钾,SiO2,94.29,73.07291391526212,72.66483068526057,63.06352550600023,79.64112613566986,1,1000,16.577600629669632
26,26严重风化点,铅钡,BaO,35.45,33.22200914310394,32.64696361862255,24.948511864339505,40.40233764005105,1,1000,15.453825775711547
39,39,铅钡,SiO2,26.25,55.64073870369217,54.55444374390403,46.94652889087673,62.00168430950598,1,1000,15.055155418629255
40,40,铅钡,SiO2,16.71,42.654454482444415,41.65435174452399,34.447264500934615,49.32230021618181,1,1000,14.875035715247193
52,52,铅钡,SiO2,25.74,58.601049788468806,57.22788743042021,49.623719849857046,64.4534133779146,1,1000,14.829693528057554
11,11,铅钡,SiO2,33.59,62.92405889230025,61.62815118150853,54.049595596876635,68.74742188249463,1,1000,14.697826285618
08,08严重风化点,铅钡,BaO,30.62,29.193952207501095,28.676513403574432,21.456499439598474,36.069101712901166,1,1000,14.612602273302691
50,50,铅钡,SiO2,17.98,45.99088955397966,44.7796438448794,37.513454691841915,52.11444257979387,1,1000,14.600987887951952
57,57,铅钡,SiO2,25.42,53.360464506075814,52.219584713885794,44.91465123717546,59.46400083771592,1,1000,14.54934960054046
10,10,高钾,SiO2,96.77,79.42863930938006,78.56521165614453,70.05515477129514,84.49428912176505,1,1000,14.439134350469914
56,56,铅钡,SiO2,29.15,58.796068163176585,57.61734909675464,50.20739857079616,64.62342513616211,1,1000,14.416026565365954
43,43部位2,铅钡,SiO2,21.7,50.621666485942676,49.41050091459011,42.258874980085224,56.44125966541859,1,1000,14.182384685333368
51,51部位2,铅钡,SiO2,21.35,48.74190246925667,47.56008319718272,40.58412777757157,54.4463615603894,1,1000,13.862233782817832
09,09,高钾,SiO2,95.02,75.77562100400166,75.28539216779204,67.32485727388463,81.10060930149494,1,1000,13.77575202761031
26,26,铅钡,BaO,32.25,23.534807405860015,23.25064881366569,16.734360804424767,30.472580698204116,1,1000,13.738219893779348
34,34,铅钡,SiO2,35.78,65.20377111427791,64.08749038585105,56.884309501714505,70.61387400585949,1,1000,13.729564504144982
58,58,铅钡,SiO2,30.39,59.78550327590683,58.548399505385504,51.4879518639755,65.20097728868095,1,1000,13.713025424705442
40,40,铅钡,PbO,70.21,38.090754042773675,37.16833783864442,30.83121378685341,44.51517848874498,1,1000,13.683964701891568
19,19,铅钡,SiO2,29.64,59.034184361147055,57.820842343939695,50.81130466100732,64.42606931195509,1,1000,13.61476465094777
49,49,铅钡,SiO2,28.79,57.380849560640456,56.17500717347179,49.272511868458125,62.770857140596014,1,1000,13.49834527213789
54,54,铅钡,SiO2,22.28,48.83673020052171,47.723066448655146,40.94553361659246,54.36856577597131,1,1000,13.423032159378849
38,38,铅钡,SiO2,32.93,63.05011510593837,61.86922595060521,54.77436168386405,68.18516978454585,1,1000,13.410808100681798
08,08,铅钡,BaO,31.23,22.52040072709248,22.224009149858652,15.93982920996691,29.282599652635962,1,1000,13.342770442669053
