glass_type,artifact_id,pc1,pc2,label
高钾,01,-0.22029057015729261,-0.6436198319807134,1
高钾,03,-0.338867390601742,0.021073343543177584,1
高钾,04,-0.5646375486461468,-0.025085399736376014,1
高钾,05,-0.5919031963274248,-0.22498616151967651,1
高钾,06,-0.2536278180269971,-0.9960827698969402,1
高钾,07,0.0071250477153219725,-0.30455001050789365,1
高钾,09,1.8591223551092304,0.11542811856614862,0
高钾,10,1.6056106379949626,-0.4287306211277592,0
高钾,12,1.3299313637519519,0.7110316098666355,0
高钾,13,-0.5181296088864443,-0.6414754549670384,1
高钾,14,-1.520143380543058,1.6185422746420879,1
高钾,16,-1.0644532311797548,0.19131928164850043,1
高钾,18,-0.17715889998896073,-0.6244618449339848,1
高钾,21,-0.2892763049635143,-0.3028900681753947,1
高钾,22,1.0725926012954428,1.167630530508398,0
高钾,27,-0.3358940565455743,0.3668570040708197,1
铅钡,02,1.5454576607036368,0.601439237342788,2
铅钡,08,-2.485631550417008,0.5710042299750052,3
铅钡,11,-1.252520853579379,0.5731707287722804,5
铅钡,19,-0.4997997735452214,0.9531863652733069,5
铅钡,20,-0.9244965708516243,0.06719447498484174,4
铅钡,23,-1.0724946340905572,-1.1625646311804712,4
铅钡,24,-2.2999543497784516,-1.290911792367242,3
铅钡,25,0.04128687990143539,-0.6674751396670778,4
铅钡,26,-2.7667395133024257,0.5185608226746837,3
铅钡,28,1.5120557772978902,-0.019070017146304578,1
铅钡,29,1.754873345439532,0.875191845142016,1
铅钡,30,0.4747760189552026,0.8868569938458123,2
铅钡,31,1.4098482454015397,0.09922396449511653,2
铅钡,32,1.8198374832891917,-1.1721799249613143,0
铅钡,33,0.9425019291897422,-0.8605626479230297,0
铅钡,34,-0.6734789199258191,-0.5266322377375237,4
铅钡,35,0.9976843633834571,-1.465292690425636,0
铅钡,36,-0.23904314078222222,-1.2338899713689797,4
铅钡,37,-0.6403278357601577,-0.6648132071121972,4
铅钡,38,-0.10811866584620983,-0.6777284246787871,4
铅钡,39,-0.8599062581970676,-0.3015035894656227,4
铅钡,40,-1.2569067970587857,0.236408303169674,5
铅钡,41,1.129586706208899,1.2411991323529297,2
铅钡,42,-0.38807803334400154,-0.32009630724913046,4
铅钡,43,-0.7780067482791038,1.5710395579397847,5
铅钡,44,1.7124454078368025,0.33662284335882464,1
铅钡,45,0.8497993884531998,-0.6754914973044139,0
铅钡,46,0.5765938797674477,-0.06654535067105445,0
铅钡,47,0.361654246540621,-0.7650679742411914,0
铅钡,48,1.1949886306993842,0.5932197778293613,1
铅钡,49,1.131295512277602,0.7656909661121,2
铅钡,50,-0.047056757989443296,0.6388357275994423,5
铅钡,51,-0.027305415210925308,1.0511122661257626,5
铅钡,52,-0.4829531253977786,0.28111612923085894,5
铅钡,53,0.984515142127772,-0.704658269527579,0
铅钡,54,-0.1312515352397595,0.5977356798395751,5
铅钡,55,-0.06494516273255849,-0.4318594402519709,4
铅钡,56,-0.2872467928265093,-0.24901908043434604,4
铅钡,57,-0.5570180839982211,-0.11604115533040045,4
铅钡,58,-0.595920099320139,0.9125943029801176,5
