sample_point,glass_type,state,ilr_1,ilr_2,ilr_3,ilr_4,ilr_5,ilr_6,ilr_7,ilr_8,ilr_9,ilr_10,ilr_11,ilr_12,ilr_13,pc1,pc2
07,高钾,观测风化,1.6162891061814288,2.709189076810105,1.8420197350421215,0.952439852316679,3.018811023052589,-0.17752169732509326,1.9279285354149511,0.40682812387970824,1.138364037094381,2.908780427522577,,,,0.317506559245254,1.7560143834201667
07,高钾,估计未风化,0.1584689277029645,1.5369871557812207,2.6807062835108697,0.6740804219538906,2.2779166754474853,0.43218930830892066,2.7421941789582,1.3299965011097188,0.969200610873077,3.794931127725295,,,,-2.268933885673462,1.0631058644736
09,高钾,观测风化,3.5933187695597124,2.0341078260246626,0.8920799488607152,0.5792786756542587,1.7665774322613885,0.03237404755687745,1.420005374242044,-0.04111799931805482,1.264726895045622,2.4934068629195556,,,,2.1037335728687183,-0.2978982600100808
09,高钾,估计未风化,2.135498591081248,0.8619059049957785,1.7307664973294632,0.3009192452914703,1.025683084656285,0.6420850531908914,2.234271017785293,0.8820503779119557,1.0955634688243179,3.3795575631222734,,,,-0.48270687204999657,-0.9908067789566467
10,高钾,观测风化,3.292090220107534,3.1068719266552876,0.7130692702090125,0.8774135946342838,1.753748469111315,0.39645999151368816,1.162270441237486,-0.2684188449527056,0.3447390313599943,2.3815408570250334,,,,2.471968951622467,0.6203793975690418
10,高钾,估计未风化,1.8342700416290696,1.9346700056264035,1.5517558186777605,0.5990541642714954,1.0128541215062112,1.0061709971477022,1.9765360847807347,0.6547495322773049,0.1755756051386902,3.267691557227751,,,,-0.11447149329624784,-0.07252912137752424
12,高钾,观测风化,3.207736744521212,2.128334531563007,1.0882065716065372,0.641035240507501,1.998886216403722,0.07969040371372182,1.519464979569122,0.046597127745972244,2.1469990183769774,2.4835852136598673,,,,1.7286443632716677,-0.12453896589724739
12,高钾,估计未风化,1.7499165660427476,0.956132610534123,1.9268931200752852,0.3626758101447126,1.2579918687986185,0.6894014093477357,2.3337306231123707,0.9697655049759828,1.9778355921556732,3.369735913862585,,,,-0.8577960816470476,-0.8174474848438136
22,高钾,观测风化,3.412985794967084,1.3108221492187888,1.7523041176358938,-0.16234764946455638,1.9694066926371532,1.2459955332135988,1.5018571540062,0.031068485223272546,1.8139041871251118,2.5031032922700254,,,,1.074150668210394,-1.2435506259906535
22,高钾,估计未风化,1.9551656164886198,0.13862022818990472,2.590990666104642,-0.4407070798273448,1.2285123450320494,1.8557065388476128,2.3161227975494487,0.9542368624532831,1.6447407609038076,3.389253992472743,,,,-1.5122897767083214,-1.9364591449372204
27,高钾,观测风化,1.6169758028667094,2.815349652054605,2.4708000090906017,0.5396139017654977,2.7499013603524984,0.4342880262630593,1.7620186070099393,0.2605093203476434,1.5077853308333067,2.740121367569478,,,,0.06331721953764528,1.368319627748472
27,高钾,估计未风化,0.15915562438824504,1.6431477310257208,3.3094865575593495,0.2612544714027093,2.0090070127473947,1.0439990318970733,2.576284250553188,1.183677697577654,1.3386219046120025,3.626272067772196,,,,-2.52312322538107,0.6754111088019057
02,铅钡,观测风化,1.8410132433726685,1.8295104268438562,0.599660448813295,1.0768524797312349,-0.5632732715011026,0.5656235390656685,2.330412520008746,-2.853343006033081,-0.986891855805526,0.0005332667592543583,2.8089046776388877,1.777010170889636,-0.396191694305045,-0.007172062248912783,1.8220305984081493
02,铅钡,估计未风化,2.2592984909444707,2.367512142914719,1.396021771534659,1.1634735356423598,-0.9453866378103244,0.41312182747569626,2.8331810512496016,-2.0895880632028554,-0.7112145622353399,1.2519875912164014,2.784912124045385,1.7016062166569503,-0.5076858246008047,1.7734103975305442,2.0736444672051793
08,铅钡,观测风化,1.4248393686370173,2.6831535005387215,0.4397325309254909,0.6912684571352643,0.2972487493145186,0.5221804563953476,-1.7392362123694305,-2.4893360839722787,-2.3073379232672586,-0.024509692125743943,2.153287459535303,1.814262291607902,-0.024748876935498654,-1.2866962918830613,-2.001560345162779
08,铅钡,估计未风化,1.8431246162088193,3.221155216609584,1.2360938536468549,0.7778895130463892,-0.0848646169947031,0.3696787448053753,-1.2364676811285753,-1.7255811411420532,-2.0316606296970723,1.226944632331403,2.1292949059418,1.7388583373752164,-0.13624300723125843,0.493886167896395,-1.749946476365749
08严重风化点,铅钡,观测风化,0.3822245405005691,2.0811995488530473,-0.6510023657740656,0.5332899859147506,0.34016222598460155,0.38410815238856366,-0.7376750050899081,-2.852477642402021,-2.4962652954769107,-0.9242704187471865,1.7008617851733572,1.743366572515507,-1.7885406339786942,-2.5260271116649986,-1.4174033271006685
08严重风化点,铅钡,估计未风化,0.800509788072371,2.61920126492391,0.1453589569472984,0.6199110418258755,-0.04195114032462016,0.23160644079859136,-0.23490647384905294,-2.0887226995717953,-2.2205880019067243,0.3271839057099605,1.6768692315798546,1.6679626182828213,-1.900034764274454,-0.7454446518855418,-1.165789458303639
11,铅钡,观测风化,1.7865389944526813,3.1121602572838993,-0.23832636014637543,1.2447829655898208,-0.19961180003200152,0.7474343645094645,-0.8450058299390639,-2.290504582584576,-1.5244005425567373,-0.9563676672524751,2.222160785398143,1.8776165369088607,-0.3030482984793732,-1.7735247233199314,-0.41669292793352036
11,铅钡,估计未风化,2.2048242420244835,3.650161973354762,0.5580349625749885,1.3314040215009457,-0.5817251663412233,0.5949326529194923,-0.34223729869820874,-1.5267496397543505,-1.2487232489865512,0.29508665720467186,2.1981682318046403,1.802212582676175,-0.414542428775133,0.00705773645952484,-0.16507905913649115
19,铅钡,观测风化,1.6980773882816953,2.8409075447334162,-0.04017951477103088,1.4023175506148502,-0.49836124394278514,0.49295028440100497,-0.48085331236086004,-2.7824051578829545,-0.5154841633173319,-0.9440134602068349,2.8136912874235995,1.781413211495872,-0.3921152708116771,-1.6076158449486364,0.33149215707181673
19,铅钡,估计未风化,2.1163626358534975,3.378909260804279,0.7561818079503331,1.488938606525975,-0.8804746102520069,0.3404485728110327,0.021915218879995146,-2.018650215052729,-0.23980686974714577,0.30744086425031214,2.7896987338300967,1.7060092572631864,-0.5036094011074368,0.17296661483082035,0.5831060258688465
26,铅钡,观测风化,1.4124429893755115,2.6759964476351144,0.4583999379685815,0.6812217809348624,0.8818134424737023,0.4150515505997223,-1.846280363897579,-2.5968958857575832,-2.406324056146039,0.047335219390475025,1.9001797892214607,1.7695024044546521,0.19865871723766038,-1.3567487576037007,-2.3595319052588084
26,铅钡,估计未风化,1.8307282369473135,3.213998163705977,1.2547612606899454,0.7678428368459873,0.4997000761644806,0.26254983900975004,-1.343511832656724,-1.8331409429273577,-2.1306467625758527,1.298789543847622,1.876187235627958,1.6940984502219665,0.08716458694190062,0.4238337021757563,-2.107918036461779
26严重风化点,铅钡,观测风化,0.23054717406126146,1.6876926601444124,-0.5544602281634416,0.5561221233339604,0.30297849303549906,0.40930015642529094,-0.8437395629732245,-2.7405944684851224,-2.612155199479996,-0.6754221895314741,1.56295190429319,1.7671973053201087,-1.8237271737436624,-2.426364155256524,-1.6451840285610155
