glass_type,component_j,component_k,variation_logratio,rho_p,ci_low,ci_high,selection_frequency,direction_frequency,core_edge
高钾,SiO2,K2O,1.666525465314756,-0.21925227033441638,-0.2692066698797716,-0.1762284256652677,0.005154639175257732,1.0,0
高钾,SiO2,CaO,1.7811152504422518,-0.23422806816060862,-0.3032836877398007,-0.19181349583692858,0.0,1.0,0
高钾,SiO2,MgO,0.22080791734735403,-0.17465530198531504,-0.4147920466756452,0.12386249977993026,0.007216494845360825,0.8979381443298969,0
高钾,SiO2,Al2O3,0.8383773401847686,-0.3477859069619176,-0.41415210264666136,-0.28956173229139,0.0,1.0,0
高钾,SiO2,Fe2O3,1.5062360206554024,-0.21443155859411073,-0.27986603622944733,-0.12905490316153947,0.0,0.9989690721649485,0
高钾,SiO2,CuO,0.5626675615977811,-0.18648899285143702,-0.44406428511607204,0.039098467191414424,0.01134020618556701,0.945360824742268,0
高钾,SiO2,PbO,0.37707816139289135,-0.062020771117241705,-0.29482611819473475,0.12510389436713482,0.002061855670103093,0.5525773195876289,0
高钾,SiO2,P2O5,0.9575124435434837,-0.1948243401541799,-0.35651470399157403,-0.0453329254630207,0.0,0.9938144329896907,0
高钾,SiO2,SrO,0.06819340211801192,0.0646802234559964,-0.4318531268239138,0.2767634933677607,0.010309278350515464,0.5030927835051546,0
高钾,K2O,CaO,0.5969250443624946,0.7838937050043646,0.377385502056824,0.9445969935510362,0.9505154639175257,1.0,1
高钾,K2O,MgO,1.4733565654981546,0.022362902011405287,-0.26744750893711416,0.2844015084737877,0.002061855670103093,0.6041237113402061,0
高钾,K2O,Al2O3,0.6523899922479458,0.6639109519424905,0.2400319635377895,0.8598607557097203,0.8680412371134021,0.9989690721649485,1
高钾,K2O,Fe2O3,1.261063944943596,0.5072742335995292,0.1313442778012379,0.8318451444314512,0.47835051546391755,0.9855670103092784,0
高钾,K2O,CuO,1.0896103944350315,0.39240301366192387,-0.10291585999420591,0.7529680257414456,0.2793814432989691,0.9484536082474226,0
高钾,K2O,PbO,1.546175470230673,0.07643555648478238,-0.2540350492081723,0.24249384172891003,0.002061855670103093,0.5061855670103093,0
高钾,K2O,P2O5,1.1487549123655294,0.45825341411542597,-0.07484774981690982,0.770085823180637,0.41649484536082476,0.9639175257731959,0
高钾,K2O,SrO,1.506744526891208,-0.08243827079172827,-0.2755784721691079,0.044635796921795874,0.013402061855670102,0.8010309278350516,0
高钾,CaO,MgO,1.4420164438088618,0.089243465044645,-0.18735284158493218,0.4174593895396261,0.012371134020618556,0.7298969072164948,0
高钾,CaO,Al2O3,0.31290147840861554,0.8448971677915396,0.7068548740415929,0.9036186993056051,0.9979381443298969,1.0,1
高钾,CaO,Fe2O3,0.6707908231513214,0.745490415962447,0.48818852792012624,0.9108101192813186,0.9711340206185567,0.9989690721649485,1
高钾,CaO,CuO,1.331567068852754,0.28776805930493743,-0.14817566656308867,0.6488462958522786,0.14742268041237114,0.8948453608247423,0
高钾,CaO,PbO,1.5703564949795976,0.10285726937020276,-0.2399834724466213,0.2977375080790159,0.002061855670103093,0.5969072164948453,0
高钾,CaO,P2O5,1.3027859645393187,0.40694139465016627,0.04826918531771124,0.7862792484686355,0.29381443298969073,0.9896907216494846,0
