raw_row_id,artifact_id,sample_point,raw_component_sum_pct,valid_sum_flag,exclusion_reason
表单2:2,01,01,97.61,True,
表单2:3,02,02,99.88999999999999,True,
表单2:4,03,03部位1,100.0,True,
表单2:5,03,03部位2,98.88,True,
表单2:6,04,04,96.05999999999999,True,
表单2:7,05,05,96.50999999999999,True,
表单2:8,06,06部位1,98.92,True,
表单2:9,06,06部位2,98.84,True,
表单2:10,07,07,99.69999999999999,True,
表单2:11,08,08,99.82000000000001,True,
表单2:12,08,08严重风化点,98.24000000000001,True,
表单2:13,09,09,99.76999999999998,True,
表单2:14,10,10,99.80999999999999,True,
表单2:15,11,11,95.39,True,
表单2:16,12,12,99.57000000000002,True,
表单2:17,13,13,98.13999999999999,True,
表单2:18,14,14,98.99999999999999,True,
表单2:19,15,15,79.47,False,component_sum_outside_85_105
表单2:20,16,16,98.41,True,
表单2:21,17,17,71.89,False,component_sum_outside_85_105
表单2:22,18,18,97.24999999999999,True,
表单2:23,19,19,98.75999999999999,True,
表单2:24,20,20,88.41,True,
表单2:25,21,21,98.52,True,
表单2:26,22,22,100.0,True,
表单2:27,23,23未风化点,96.5,True,
表单2:28,24,24,98.88000000000001,True,
表单2:29,25,25未风化点,97.06000000000002,True,
表单2:30,26,26,99.82,True,
表单2:31,26,26严重风化点,99.89000000000001,True,
表单2:32,27,27,98.81,True,
表单2:33,28,28未风化点,98.69000000000001,True,
表单2:34,29,29未风化点,99.88,True,
表单2:35,30,30部位1,97.94999999999999,True,
表单2:36,30,30部位2,98.7,True,
表单2:37,31,31,98.42999999999999,True,
表单2:38,32,32,98.66,True,
表单2:39,33,33,99.96,True,
表单2:40,34,34,97.52000000000001,True,
表单2:41,35,35,96.21,True,
表单2:42,36,36,97.62999999999998,True,
表单2:43,37,37,99.97999999999999,True,
表单2:44,38,38,98.57000000000001,True,
表单2:45,39,39,98.75999999999999,True,
表单2:46,40,40,98.57,True,
表单2:47,41,41,93.71,True,
表单2:48,42,42未风化点1,98.00999999999999,True,
表单2:49,42,42未风化点2,97.9,True,
表单2:50,43,43部位1,94.68,True,
表单2:51,43,43部位2,96.67,True,
表单2:52,44,44未风化点,99.12,True,
表单2:53,45,45,98.33999999999999,True,
表单2:54,46,46,98.63000000000001,True,
表单2:55,47,47,97.25999999999999,True,
表单2:56,48,48,99.16999999999999,True,
表单2:57,49,49,95.49999999999999,True,
表单2:58,49,49未风化点,98.24,True,
表单2:59,50,50,90.17,True,
表单2:60,50,50未风化点,96.94000000000001,True,
表单2:61,51,51部位1,95.33,True,
表单2:62,51,51部位2,91.7,True,
表单2:63,52,52,94.07999999999998,True,
表单2:64,53,53未风化点,98.24999999999999,True,
表单2:65,54,54,99.66999999999999,True,
表单2:66,54,54严重风化点,96.92,True,
表单2:67,55,55,96.38000000000001,True,
表单2:68,56,56,92.24000000000001,True,
表单2:69,57,57,92.47,True,
表单2:70,58,58,98.75999999999999,True,
