task_id,split_id,raw_row_id,closure_sum,closure_error,finite_ilr
q1_2_q1_3_q2_2_q4,type_group_full,表单2:2,100.00000000000001,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:3,100.00000000000001,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:4,99.99999999999999,1.4210854715202004e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:5,100.00000000000001,2.842170943040401e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:6,99.99999999999999,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:7,100.00000000000001,2.842170943040401e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:8,100.0,1.4210854715202004e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:9,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:10,100.00000000000001,1.4210854715202004e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:11,99.99999999999999,1.4210854715202004e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:12,100.00000000000001,1.4210854715202004e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:13,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:14,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:15,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:16,100.00000000000001,1.4210854715202004e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:17,100.00000000000001,2.842170943040401e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:18,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:20,100.00000000000001,2.842170943040401e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:22,100.00000000000003,4.263256414560601e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:23,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:24,100.0,0.0,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:25,100.00000000000006,5.684341886080802e-14,True
q1_2_q1_3_q2_2_q4,type_group_full,表单2:26,100.00000000000006,4.263256414560601e-14,True
