repeat_id,outer_fold,artifact_id,glass_type,split_role,seed
0,0,01,高钾,validation,204308
0,0,02,铅钡,validation,204308
0,0,03,高钾,train,204308
0,0,04,高钾,train,204308
0,0,05,高钾,train,204308
0,0,06,高钾,train,204308
0,0,07,高钾,train,204308
0,0,08,铅钡,validation,204308
0,0,09,高钾,train,204308
0,0,10,高钾,train,204308
0,0,11,铅钡,train,204308
0,0,12,高钾,train,204308
0,0,13,高钾,train,204308
0,0,14,高钾,validation,204308
0,0,16,高钾,train,204308
0,0,18,高钾,validation,204308
0,0,19,铅钡,validation,204308
0,0,20,铅钡,train,204308
0,0,21,高钾,validation,204308
0,0,22,高钾,train,204308
0,0,23,铅钡,validation,204308
0,0,24,铅钡,validation,204308
0,0,25,铅钡,train,204308
0,0,26,铅钡,train,204308
0,0,27,高钾,train,204308
0,0,28,铅钡,train,204308
0,0,29,铅钡,validation,204308
0,0,30,铅钡,train,204308
0,0,31,铅钡,train,204308
0,0,32,铅钡,train,204308
0,0,33,铅钡,train,204308
0,0,34,铅钡,train,204308
0,0,35,铅钡,train,204308
0,0,36,铅钡,train,204308
0,0,37,铅钡,validation,204308
0,0,38,铅钡,validation,204308
0,0,39,铅钡,train,204308
0,0,40,铅钡,train,204308
0,0,41,铅钡,train,204308
0,0,42,铅钡,train,204308
0,0,43,铅钡,train,204308
0,0,44,铅钡,train,204308
0,0,45,铅钡,train,204308
0,0,46,铅钡,train,204308
0,0,47,铅钡,train,204308
0,0,48,铅钡,train,204308
0,0,49,铅钡,train,204308
0,0,50,铅钡,train,204308
0,0,51,铅钡,train,204308
0,0,52,铅钡,train,204308
0,0,53,铅钡,train,204308
0,0,54,铅钡,train,204308
0,0,55,铅钡,train,204308
0,0,56,铅钡,train,204308
0,0,57,铅钡,train,204308
0,0,58,铅钡,train,204308
0,1,01,高钾,train,204308
0,1,02,铅钡,train,204308
0,1,03,高钾,train,204308
0,1,04,高钾,train,204308
0,1,05,高钾,train,204308
0,1,06,高钾,train,204308
0,1,07,高钾,train,204308
0,1,08,铅钡,train,204308
0,1,09,高钾,train,204308
0,1,10,高钾,validation,204308
0,1,11,铅钡,train,204308
0,1,12,高钾,train,204308
0,1,13,高钾,train,204308
0,1,14,高钾,train,204308
0,1,16,高钾,train,204308
0,1,18,高钾,train,204308
0,1,19,铅钡,train,204308
