glass_type,subclass_label,component,center_pct,median_pct,q25_pct,q75_pct,n_artifacts,stable_subclass_supported
高钾,高钾-探索组1,SiO2,92.72670091514387,92.21113906811823,91.63497620575632,92.72415865575272,4,0
高钾,高钾-探索组1,K2O,0.7823272645837124,0.8076984135535061,0.6886586317223182,0.9126626554798367,4,0
高钾,高钾-探索组1,CaO,0.6156772766427989,0.6527514321540377,0.5032622347462457,0.9341744269830221,4,0
高钾,高钾-探索组1,MgO,0.9831723818106493,1.1295216528797056,1.0010652838265155,1.1343727645762982,4,0
高钾,高钾-探索组1,Al2O3,1.498684429894259,1.3541836455067333,1.1590896833434456,1.9271736749330715,4,0
高钾,高钾-探索组1,Fe2O3,0.2971581014361578,0.2971122032929163,0.27487236478161536,0.3195168279665674,4,0
高钾,高钾-探索组1,CuO,1.0220088046907991,1.1599178293081662,0.743538745782496,1.533629669700023,4,0
高钾,高钾-探索组1,PbO,0.34309017162440153,0.34096476586698593,0.3399869362559088,0.3419128818765349,4,0
高钾,高钾-探索组1,BaO,1.3527555338333546,1.344375362561259,1.3405199200947255,1.3481136485417669,4,0
高钾,高钾-探索组1,P2O5,0.2951032215169328,0.2734445244601241,0.19125986217054655,0.4353653107186506,4,0
高钾,高钾-探索组1,SrO,0.08332189882306883,0.08280572885341081,0.08256825594786343,0.08303598559858708,4,0
高钾,高钾-探索组2,SiO2,72.63049591129234,68.78219534707435,64.0332810650311,75.29999216718666,12,0
高钾,高钾-探索组2,K2O,10.323992326115762,9.444780427457331,8.520903722420917,11.561993367794248,12,0
高钾,高钾-探索组2,CaO,4.679547645079116,5.785720700537698,4.150797157779292,7.757509508967628,12,0
高钾,高钾-探索组2,MgO,1.0989435926167457,1.1478278370291437,0.8288121433792107,1.4930038167846091,12,0
高钾,高钾-探索组2,Al2O3,5.219821920999911,5.999618541987207,3.702549352634133,6.870850326848009,12,0
高钾,高钾-探索组2,Fe2O3,1.1215000531641484,1.6760808037400072,0.4939076077078873,2.315392095855133,12,0
高钾,高钾-探索组2,CuO,2.219128240538351,2.2779338221285985,1.882526727592197,3.113396693499475,12,0
高钾,高钾-探索组2,PbO,0.411447729257269,0.3548041264598653,0.31659408735109534,0.4214195239214569,12,0
高钾,高钾-探索组2,BaO,1.3533579322992306,1.3989419843274686,1.2482852586986048,1.4167338793386033,12,0
高钾,高钾-探索组2,P2O5,0.861219051955431,0.8857859445766727,0.6588727542678647,1.209172714743274,12,0
高钾,高钾-探索组2,SrO,0.080545596681702,0.082256866005273,0.07353870895760443,0.08726259401723281,12,0
铅钡,铅钡-探索组1,SiO2,60.822532825500005,60.11899140617621,54.40402752715062,64.12487741924538,7,0
铅钡,铅钡-探索组1,Na2O,2.8601967768802505,2.51369189720545,2.4966871043609027,2.718422067516838,7,0
铅钡,铅钡-探索组1,K2O,0.17980543573006288,0.1966016008987501,0.12131127079783596,0.24683902285126763,7,0
铅钡,铅钡-探索组1,CaO,0.7148040998365546,0.7366134668051749,0.5113066940919928,0.8212718805800026,7,0
铅钡,铅钡-探索组1,MgO,0.9478059361135123,0.9361980995178574,0.8115929934433652,1.0161232026888443,7,0
铅钡,铅钡-探索组1,Al2O3,3.11345179190359,2.9894490035169965,2.191519473566667,4.570691662457245,7,0
铅钡,铅钡-探索组1,Fe2O3,0.7519448722659636,0.9361980995178583,0.9242149881144739,0.9439752493940106,7,0
铅钡,铅钡-探索组1,CuO,0.3698935526199368,0.5000943574259292,0.2938137426154984,0.5724884232721614,7,0
铅钡,铅钡-探索组1,PbO,18.663086275061964,18.499274446472874,15.017399765930055,22.19517173611261,7,0
铅钡,铅钡-探索组1,BaO,6.866661634559404,8.48994239304939,4.998390641111033,9.153746482581653,7,0
铅钡,铅钡-探索组1,P2O5,0.37046034480735773,0.18469778824398575,0.1396980057346042,1.399027382698137,7,0
铅钡,铅钡-探索组1,SrO,0.3683030547795791,0.3463932968216075,0.29860488380833333,0.3753467584479118,7,0
铅钡,铅钡-探索组1,SnO2,0.42616182828643906,0.4151726740894513,0.40945060959591273,0.4180074210066822,7,0
铅钡,铅钡-探索组1,SO2,3.544891571655379,3.453481789016794,3.4058846161841814,3.4770617292828554,7,0
铅钡,铅钡-探索组2,SiO2,59.779410231006125,58.88552976330363,55.52851421728912,61.861941246688566,4,0
铅钡,铅钡-探索组2,Na2O,1.53362825669791,1.7205381479513617,0.8564717826790401,2.633778579721229,4,0
铅钡,铅钡-探索组2,K2O,0.259957806132914,0.26802677897244725,0.23248642181272197,0.29354081924587994,4,0
铅钡,铅钡-探索组2,CaO,2.166856768851355,2.3620705809507054,1.822313354735918,2.7562177611884136,4,0
铅钡,铅钡-探索组2,MgO,1.20367978334295,1.1925157381432483,0.9482177995477358,1.4460249733478607,4,0
铅钡,铅钡-探索组2,Al2O3,10.165869718715491,12.525356947592252,10.033530478689475,13.320958089097413,4,0
