scenario,unknown_id,probability,label,delta_probability,label_changed
zero_c_0.25,A1,0.3984797102285297,高钾,0.0011967508094234414,0
zero_c_0.25,A2,0.793014916208211,铅钡,-4.571110158024805e-05,0
zero_c_0.25,A3,0.6640716463577908,铅钡,0.00044804154946409547,0
zero_c_0.25,A4,0.7271480018410755,铅钡,6.216282511140037e-05,0
zero_c_0.25,A5,0.4997026464576211,高钾,0.0005852138864927414,0
zero_c_0.25,A6,0.8933597459533167,铅钡,-0.0003378478407978225,0
zero_c_0.25,A7,0.8210169887165837,铅钡,-0.00027174152239839433,0
zero_c_0.25,A8,0.9574898649892828,铅钡,0.017848968634407325,0
zero_c_0.75,A1,0.3965230167527521,高钾,-0.000759942666354152,0
zero_c_0.75,A2,0.793089413406809,铅钡,2.8786097017841072e-05,0
zero_c_0.75,A3,0.663345919869599,铅钡,-0.00027768493872770694,0
zero_c_0.75,A4,0.7270350037382552,铅钡,-5.083527770888274e-05,0
zero_c_0.75,A5,0.4987057043024929,高钾,-0.0004117282686354473,0
zero_c_0.75,A6,0.8939018252990302,铅钡,0.000204231504915664,0
zero_c_0.75,A7,0.821444102944304,铅钡,0.00015537270532195446,0
zero_c_0.75,A8,0.9260708042028356,铅钡,-0.013570092152039859,0
global_median,A1,0.6921170057877055,铅钡,0.2948340463685993,1
global_median,A2,0.708807223431906,铅钡,-0.08425340387788516,0
global_median,A3,0.5219115630008061,铅钡,-0.14171204180752062,0
global_median,A4,0.6956525730379228,铅钡,-0.0314332659780413,0
global_median,A5,0.4795439698031263,高钾,-0.019573462768002037,0
global_median,A6,0.8961298475605389,铅钡,0.0024322537664244193,0
global_median,A7,0.8064742916443705,铅钡,-0.014814438594611623,0
global_median,A8,0.9733249739123491,铅钡,0.0336840775574736,0
knn_k5,A1,0.07763087936207398,高钾,-0.3196520800570323,0
knn_k5,A2,0.762132888249833,铅钡,-0.03092773905995816,0
knn_k5,A3,0.604848657946355,铅钡,-0.05877494686197171,0
knn_k5,A4,0.733846664973049,铅钡,0.006760825957084826,0
knn_k5,A5,0.39132532832403855,高钾,-0.10779210424708979,0
knn_k5,A6,0.8781058201468932,铅钡,-0.015591773647221308,0
knn_k5,A7,0.6324863652428554,铅钡,-0.18880236499612668,0
knn_k5,A8,0.9923463256649527,铅钡,0.05270542931007727,0
componentwise_pm_5pct_phase0,A1,0.39749235560344887,高钾,0.00020939618434262508,0
componentwise_pm_5pct_phase0,A2,0.8002603415790568,铅钡,0.007199714269265578,0
componentwise_pm_5pct_phase0,A3,0.6605034711108583,铅钡,-0.0031201336974684413,0
componentwise_pm_5pct_phase0,A4,0.7243098162112297,铅钡,-0.002776022804734435,0
componentwise_pm_5pct_phase0,A5,0.49911743257112856,高钾,2.220446049250313e-16,0
componentwise_pm_5pct_phase0,A6,0.8925146901871869,铅钡,-0.0011829036069276322,0
componentwise_pm_5pct_phase0,A7,0.821417034818571,铅钡,0.0001283045795889004,0
componentwise_pm_5pct_phase0,A8,0.9396022864901155,铅钡,-3.8609864760008605e-05,0
componentwise_pm_5pct_phase1,A1,0.39749235560344887,高钾,0.00020939618434262508,0
componentwise_pm_5pct_phase1,A2,0.7855889331595158,铅钡,-0.007471694150275376,0
componentwise_pm_5pct_phase1,A3,0.6665782943303341,铅钡,0.002954689522007392,0
componentwise_pm_5pct_phase1,A4,0.729710127756719,铅钡,0.002624288740754821,0
componentwise_pm_5pct_phase1,A5,0.4991174325711288,高钾,4.440892098500626e-16,0
componentwise_pm_5pct_phase1,A6,0.8950973459291837,铅钡,0.0013997521350691544,0
componentwise_pm_5pct_phase1,A7,0.821417034818571,铅钡,0.0001283045795889004,0
componentwise_pm_5pct_phase1,A8,0.9396022864901155,铅钡,-3.8609864760008605e-05,0
componentwise_pm_10pct_phase0,A1,0.3981239344737234,高钾,0.0008409750546171657,0
componentwise_pm_10pct_phase0,A2,0.8072291432934713,铅钡,0.014168515983680074,0
componentwise_pm_10pct_phase0,A3,0.6571994506091385,铅钡,-0.006424154199188181,0
componentwise_pm_10pct_phase0,A4,0.7213648083532253,铅钡,-0.00572103066273888,0
componentwise_pm_10pct_phase0,A5,0.49911743257112823,高钾,-1.1102230246251565e-16,0
componentwise_pm_10pct_phase0,A6,0.8915504838309959,铅钡,-0.002147109963118621,0
componentwise_pm_10pct_phase0,A7,0.8218034504918406,铅钡,0.0005147202528584804,0
componentwise_pm_10pct_phase0,A8,0.9394857336869324,铅钡,-0.0001551626679430207,0
componentwise_pm_10pct_phase1,A1,0.39812393447372324,高钾,0.0008409750546169992,0
componentwise_pm_10pct_phase1,A2,0.7777994057933038,铅钡,-0.015261221516487455,0
componentwise_pm_10pct_phase1,A3,0.6693833744598551,铅钡,0.005759769651528357,0
componentwise_pm_10pct_phase1,A4,0.7321974638656698,铅钡,0.0051116248497056205,0
componentwise_pm_10pct_phase1,A5,0.49911743257112856,高钾,2.220446049250313e-16,0
componentwise_pm_10pct_phase1,A6,0.8967140809936535,铅钡,0.003016487199538953,0
componentwise_pm_10pct_phase1,A7,0.8218034504918406,铅钡,0.0005147202528584804,0
componentwise_pm_10pct_phase1,A8,0.9394857336869324,铅钡,-0.0001551626679430207,0
