scenario,sample_point,component,estimate,relative_change,rank_or_direction_stable
componentwise_pm_5pct_phase0,07,SiO2,46.81838298297673,0.03308651507308276,1.0
componentwise_pm_5pct_phase0,07,K2O,35.63673021691122,-0.016108080882778403,
componentwise_pm_5pct_phase0,07,CaO,5.764514160558519,-0.06530267683864055,1.0
componentwise_pm_5pct_phase0,07,MgO,0.963238667315767,-0.016108080882778493,
componentwise_pm_5pct_phase0,07,Al2O3,4.389290355213537,-0.06530267683864008,1.0
componentwise_pm_5pct_phase0,07,Fe2O3,0.7311286712070932,0.033086515073082925,1.0
componentwise_pm_5pct_phase0,07,CuO,3.3180485799443034,-0.06530267683864018,1.0
componentwise_pm_5pct_phase0,07,PbO,0.2778346263857563,-0.016108080882778153,
componentwise_pm_5pct_phase0,07,BaO,0.8813365187858879,-0.01610808088277846,
componentwise_pm_5pct_phase0,07,P2O5,1.1674010949163602,0.03308651507308277,1.0
componentwise_pm_5pct_phase0,07,SrO,0.052094125784828645,-0.016108080882779336,
componentwise_pm_5pct_phase1,07,SiO2,43.76957714320592,-0.034187918588765784,1.0
componentwise_pm_5pct_phase1,07,K2O,36.82302680516381,0.016644296222351633,
componentwise_pm_5pct_phase1,07,CaO,6.5833969044690885,0.06747651103346958,1.0
componentwise_pm_5pct_phase1,07,MgO,0.9953035267390214,0.01664429622235241,
componentwise_pm_5pct_phase1,07,Al2O3,5.012814563808625,0.06747651103346901,1.0
componentwise_pm_5pct_phase1,07,Fe2O3,0.683517685513493,-0.03418791858876397,1.0
componentwise_pm_5pct_phase1,07,CuO,3.7893966675531487,0.06747651103347026,1.0
componentwise_pm_5pct_phase1,07,PbO,0.28708335003053825,0.01664429622235243,
componentwise_pm_5pct_phase1,07,BaO,0.9106749709663856,0.016644296222352462,
componentwise_pm_5pct_phase1,07,P2O5,1.0913801166431483,-0.03418791858876497,1.0
componentwise_pm_5pct_phase1,07,SrO,0.053828265906843,0.01664429622235235,
componentwise_pm_10pct_phase0,07,SiO2,48.270288086950295,0.06512400736806988,1.0
