artifact_id,sample_point,glass_type,component,observed_weathered_pct,estimated_unweathered_pct,median_pct,ci_low_pct,ci_high_pct,modeled,bootstrap_success
07,07,高钾,SiO2,92.63,45.318937281515765,46.95361354455809,27.998464501452556,65.30314187180448,1,1000
07,07,高钾,K2O,,36.22016760630131,33.37308908684429,9.946679973699116,58.455440520137884,1,1000
07,07,高钾,CaO,1.07,6.167252240609417,5.956047298182687,3.1358305643974833,10.290260662594374,1,1000
07,07,高钾,MgO,,0.9790086173083064,0.9862740730578304,0.4466907665012216,1.9106069546898992,1,1000
07,07,高钾,Al2O3,1.98,4.695948352957676,4.8827825302689085,2.583416466369917,7.383846815072469,1,1000
07,07,高钾,Fe2O3,0.17,0.7077129171077908,0.7267871914985949,0.2885202879012116,1.5730490946970241,1,1000
07,07,高钾,CuO,3.24,3.549864215639246,3.573983246628986,1.83181450617403,6.40480338241861,1,1000
07,07,高钾,PbO,,0.2823832790852049,0.3325921797281757,0.11470185536642115,0.9222247230185098,1,1000
07,07,高钾,BaO,,0.8957655832529354,0.9928547505838674,0.41644491906212605,2.067281332616772,1,1000
07,07,高钾,P2O5,0.61,1.1300129058734019,1.1574081052751315,0.5173063587058743,2.361855403581928,1,1000
07,07,高钾,SrO,,0.05294700034895008,0.05495262327920946,0.026389130135618333,0.09141145639306107,1,1000
07,07,高钾,Na2O,,,,,,0,1000
07,07,高钾,SnO2,,,,,,0,1000
07,07,高钾,SO2,,,,,,0,1000
09,09,高钾,SiO2,95.02,75.77562100400166,75.28539216779204,67.32485727388463,81.10060930149494,1,1000
09,09,高钾,K2O,0.59,3.697753778263386,3.6915662773741587,1.1525201356128947,8.468139685951746,1,1000
09,09,高钾,CaO,0.62,5.824867465823529,5.388393359298433,2.9622692531886248,9.592578371523214,1,1000
09,09,高钾,MgO,,1.595779712544705,1.5392721148495352,0.9333271913335228,2.645010109620637,1,1000
09,09,高钾,Al2O3,1.32,5.102916685528129,5.097446621351217,3.0601116864537903,7.470077468341143,1,1000
09,09,高钾,Fe2O3,0.32,2.1714238534252512,2.204541594543959,1.0797164869767568,3.7764593995619657,1,1000
09,09,高钾,CuO,1.55,2.768119624828244,2.677968430539824,1.4752891686492806,4.972979921983053,1,1000
09,09,高钾,PbO,,0.4602834949144379,0.49513573560675983,0.21053866585898887,1.4018603766234974,1,1000
09,09,高钾,BaO,,1.4600939355170672,1.5321547133814588,0.8415682163001599,3.0206229347579105,1,1000
09,09,高钾,P2O5,0.35,1.0568370689593625,1.0495948144556868,0.5286858074326031,2.0460093078716493,1,1000
09,09,高钾,SrO,,0.0863033761942301,0.08625161399897838,0.050694837738487944,0.11869959680009695,1,1000
09,09,高钾,Na2O,,,,,,0,1000
09,09,高钾,SnO2,,,,,,0,1000
09,09,高钾,SO2,,,,,,0,1000
10,10,高钾,SiO2,96.77,79.42863930938006,78.56521165614453,70.05515477129514,84.49428912176505,1,1000
10,10,高钾,K2O,0.92,5.934658164653926,5.92797605818269,1.8342988164551681,13.178372819286452,1,1000
10,10,高钾,CaO,0.21,2.0306522515335432,1.8637197235440806,0.9859898050368454,3.412786920897276,1,1000
10,10,高钾,MgO,,1.642460156390572,1.5760773583942511,0.9606625111172585,2.657988950031935,1,1000
10,10,高钾,Al2O3,0.81,3.2229344223872975,3.1952111189485146,1.8547427130115934,4.793428807828184,1,1000
10,10,高钾,Fe2O3,0.26,1.8158914236428834,1.8377035407808382,0.8857381633205884,3.1456969508480648,1,1000
10,10,高钾,CuO,0.84,1.5440250633416117,1.4795787021009108,0.8296953250727961,2.7411765243901876,1,1000
10,10,高钾,PbO,,0.47374790837240255,0.5097831158104492,0.21248187082838776,1.4266162606901125,1,1000
10,10,高钾,BaO,,1.5028052398598883,1.563764048480714,0.8091326189742963,3.0626092011470583,1,1000
10,10,高钾,P2O5,,2.3153581002584147,2.347439338079382,0.8906090485857546,6.133750789000376,1,1000
10,10,高钾,SrO,,0.08882796017939643,0.08769914820608782,0.05194508099516156,0.12213962535532524,1,1000
10,10,高钾,Na2O,,,,,,0,1000
10,10,高钾,SnO2,,,,,,0,1000
10,10,高钾,SO2,,,,,,0,1000
12,12,高钾,SiO2,94.29,73.07291391526212,72.66483068526057,63.06352550600023,79.64112613566986,1,1000
12,12,高钾,K2O,1.01,6.151537328514945,6.164034084614894,1.9635393652256805,13.689473948775788,1,1000
12,12,高钾,CaO,0.72,6.573598384864034,6.075356641941589,3.360111369136575,10.558326882197715,1,1000
12,12,高钾,MgO,,1.550776644172904,1.49073797798258,0.8938762956339787,2.609460499603305,1,1000
12,12,高钾,Al2O3,1.46,5.48496315296396,5.458579997900919,3.3066475915462292,7.906906918385126,1,1000
12,12,高钾,Fe2O3,0.29,1.9123568507487267,1.931291495378868,0.9428363361388005,3.3748047919420925,1,1000
